contract_decimals,contract_name,contract_ticker_symbol,contract_address,supports_erc,logo_url,quote_rate,rank
8,"Aircoins","AIRx","0x8cb1d155a5a1d5d667611b7710920fd9d1cd727f",,"https://logos.covalenthq.com/tokens/0x8cb1d155a5a1d5d667611b7710920fd9d1cd727f.png","0.00013849004",10000
18,"SCDSTOKEN","SCDS","0xb72c794effb775197287d767ca80c22ae9094cb5",,"https://logos.covalenthq.com/tokens/0xb72c794effb775197287d767ca80c22ae9094cb5.png","0.21010916",10000
18,"CAD Coin","CADC","0xcadc0acd4b445166f12d2c07eac6e2544fbe2eef",,"https://logos.covalenthq.com/tokens/0xcadc0acd4b445166f12d2c07eac6e2544fbe2eef.png","0.86180377",10000
18," 1X Short XRP Token","XRPHEDGE","0x55b54d8fb1640d1321d5164590e7b020ba43def2",,"https://logos.covalenthq.com/tokens/0x55b54d8fb1640d1321d5164590e7b020ba43def2.png","81.24182",10000
18,"Digiwill","DGW","0x87b87a7583d8d8f15b58bdd290318386ac8ee174",,"https://logos.covalenthq.com/tokens/0x87b87a7583d8d8f15b58bdd290318386ac8ee174.png","0.005903633",10000
18,"easyMINE Token","EMT","0x9501bfc48897dceeadf73113ef635d2ff7ee4b97",,"https://logos.covalenthq.com/tokens/0x9501bfc48897dceeadf73113ef635d2ff7ee4b97.png","0.0015867002",10000
18,"CRYPTO BANK","CBANK","0xa5e412ba6fca1e07b15defcaa4236ff7b5a7f086",,"https://logos.covalenthq.com/tokens/0xa5e412ba6fca1e07b15defcaa4236ff7b5a7f086.png","0.47007474",10000
18,"BitTiger","BTTR","0x594e8f548ae1eb5a22b4d48a90ae9bc48e7c4742",,"https://logos.covalenthq.com/tokens/0x594e8f548ae1eb5a22b4d48a90ae9bc48e7c4742.png","0.87565273",10000
18,"One DEX","ODEX","0xa960d2ba7000d58773e7fa5754dec3bb40a069d5",,"https://logos.covalenthq.com/tokens/0xa960d2ba7000d58773e7fa5754dec3bb40a069d5.png",0,10000
18,"PYRO Network","PYRO","0x14409b0fc5c7f87b5dad20754fe22d29a3de8217",,"https://logos.covalenthq.com/tokens/0x14409b0fc5c7f87b5dad20754fe22d29a3de8217.png","0.0003956858",10000
18,"TNC Group Token","TNC","0x39e743fee400a5d9b36f1167b70c10e8f06440e5",,"https://logos.covalenthq.com/tokens/0x39e743fee400a5d9b36f1167b70c10e8f06440e5.png","0.0062003965",10000
8,"IDKToken","IDK","0x61fd1c62551850d0c04c76fce614cbced0094498",,"https://logos.covalenthq.com/tokens/0x61fd1c62551850d0c04c76fce614cbced0094498.png","0.06884933",10000
18,"BitEth2575RebalancingSetToken","BTCETH2575","0xa6c040045d962e4b8efa00954c7d23ccd0a2b8ad",,"https://logos.covalenthq.com/tokens/0xa6c040045d962e4b8efa00954c7d23ccd0a2b8ad.png","1037.4786",10000
